,0
1769,0
1770,3
1771,3
1772,2
1773,3
1774,0
1775,0
1776,0
1777,1
1778,3
1779,0
1780,2
1781,1
1782,1
1783,0
1784,0
1785,1
1786,0
1787,2
1788,3
1789,0
1790,1
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,1
1799,0
1800,1
1801,1
1802,0
1803,1
1804,1
1805,0
1806,0
1807,1
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,1
1816,0
1817,1
1818,0
1819,2
1820,0
1821,0
1822,1
1823,0
1824,0
1825,0
1826,1
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,1
1840,2
1841,2
1842,1
1843,1
1844,1
1845,0
1846,1
1847,0
1848,0
1849,0
1850,0
1851,3
1852,0
1853,1
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,2
1873,0
1874,0
1875,0
1876,1
1877,0
1878,0
1879,1
1880,0
1881,2
1882,2
1883,0
1884,2
1885,0
1886,0
1887,1
1888,0
1889,0
1890,1
1891,1
1892,0
1893,0
1894,0
1895,0
1896,0
1897,1
1898,0
1899,2
1900,0
1901,0
1902,1
1903,0
1904,1
1905,1
1906,0
1907,0
1908,0
1909,0
1910,4
1911,3
1912,1
1913,0
1914,0
1915,0
1916,1
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,1
1924,0
1925,1
1926,1
1927,1
1928,0
1929,3
1930,1
1931,0
1932,0
1933,0
1934,0
1935,3
1936,0
1937,1
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,1
1953,0
1954,0
1955,1
1956,1
1957,0
1958,2
1959,0
1960,0
1961,0
1962,2
1963,0
1964,1
1965,1
1966,0
1967,1
1968,4
1969,0
1970,1
1971,0
1972,0
1973,2
1974,3
1975,1
1976,1
1977,0
1978,0
1979,1
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,1
1987,0
1988,1
1989,1
1990,0
1991,0
1992,0
1993,2
1994,2
1995,1
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,1
2003,1
2004,1
2005,1
2006,0
2007,1
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,1
2018,1
2019,0
2020,0
2021,0
2022,0
2023,1
2024,0
2025,0
2026,0
2027,0
2028,2
2029,0
2030,0
2031,2
2032,0
2033,0
2034,1
2035,0
2036,0
2037,0
2038,0
2039,1
2040,1
2041,0
2042,0
2043,0
2044,0
2045,1
2046,0
2047,0
2048,0
2049,2
2050,1
2051,0
2052,1
2053,0
2054,0
2055,1
2056,0
2057,0
2058,0
2059,1
2060,2
2061,0
2062,0
2063,1
2064,0
2065,0
2066,0
2067,1
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,2
2076,1
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,1
2086,1
2087,0
2088,0
2089,0
2090,1
2091,1
2092,0
2093,0
2094,1
2095,1
2096,2
2097,0
2098,1
2099,1
2100,0
2101,0
2102,0
2103,3
2104,0
2105,0
2106,0
2107,2
